Date,Open,High,Low,Close
2021/1/4,103.219,103.316,102.714,103.127
2021/1/5,103.127,103.19,102.607,102.718
2021/1/6,102.712,103.444,102.598,103.068
2021/1/7,103.068,103.957,102.955,103.848
2021/1/8,103.849,104.09,103.61,103.958
2021/1/11,103.939,104.398,103.919,104.218
2021/1/12,104.217,104.333,103.723,103.783
2021/1/13,103.774,103.994,103.527,103.87
2021/1/14,103.871,104.198,103.565,103.824
2021/1/15,103.824,103.895,103.619,103.89
2021/1/18,103.843,103.931,103.639,103.698
2021/1/19,103.698,104.085,103.654,103.917
2021/1/20,103.92,103.927,103.453,103.575
2021/1/21,103.568,103.668,103.33,103.508
2021/1/22,103.5105,103.885,103.4865,103.826
2021/1/25,103.82,103.938,103.675,103.769
2021/1/26,103.769,103.828,103.556,103.64
2021/1/27,103.638,104.201,103.589,104.075
2021/1/28,104.074,104.462,104.074,104.229
2021/1/29,104.229,104.939,104.225,104.751
2021/2/1,104.805,105.035,104.615,104.951
2021/2/2,104.95,105.174,104.83,105.003
2021/2/3,105.017,105.104,104.925,105.036
2021/2/4,105.036,105.566,104.976,105.527
2021/2/5,105.527,105.767,105.336,105.393
2021/2/8,105.399,105.672,105.152,105.238
2021/2/9,105.241,105.264,104.503,104.564
2021/2/10,104.564,104.841,104.414,104.617
2021/2/11,104.6165,104.805,104.553,104.753
2021/2/12,104.752,105.18,104.737,104.969
2021/2/15,104.979,105.419,104.947,105.3525
2021/2/16,105.3535,106.11,105.196,106.106
2021/2/17,106.101,106.221,105.78,105.8805
2021/2/18,105.879,105.925,105.599,105.692
2021/2/19,105.694,105.741,105.241,105.461
2021/2/22,105.505,105.841,104.985,105.067
2021/2/23,105.065,105.427,104.923,105.245
2021/2/24,105.247,106.106,105.198,105.872
2021/2/25,105.874,106.398,105.846,106.246
2021/2/26,106.25,106.6925,105.853,106.598
2021/3/1,106.553,106.889,106.367,106.776
2021/3/2,106.776,106.957,106.679,106.704
2021/3/3,106.703,107.153,106.7,107.009
2021/3/4,107.007,107.997,106.969,107.977
2021/3/5,107.976,108.636,107.821,108.351
2021/3/8,108.382,108.943,108.31,108.93
2021/3/9,108.924,109.233,108.417,108.522
2021/3/10,108.523,108.919,108.341,108.429
2021/3/11,108.429,108.813,108.358,108.532
2021/3/12,108.532,109.165,108.517,109.009
2021/3/15,109.085,109.359,108.916,109.148
2021/3/16,109.141,109.285,108.772,108.998
2021/3/17,108.998,109.326,108.705,108.857
2021/3/18,108.857,109.302,108.638,108.969
2021/3/19,108.969,109.125,108.611,108.88
